contentId,creatorId,title,lengthSec,format,platform,createdAt
"c1","creator_1","Synthetic Item 1",361,"video","youtube","2025-01-01"
"c2","creator_2","Synthetic Item 2",62,"article","blog","2025-01-01"
"c3","creator_3","Synthetic Item 3",63,"short","instagram","2025-01-01"
"c4","creator_4","Synthetic Item 4",64,"podcast","tiktok","2025-01-01"
"c5","creator_5","Synthetic Item 5",65,"live","twitch","2025-01-01"
"c6","creator_6","Synthetic Item 6",66,"video","spotify","2025-01-01"
"c7","creator_7","Synthetic Item 7",67,"article","youtube","2025-01-01"
"c8","creator_8","Synthetic Item 8",68,"short","blog","2025-01-01"
"c9","creator_9","Synthetic Item 9",69,"podcast","instagram","2025-01-01"
"c10","creator_10","Synthetic Item 10",70,"live","tiktok","2025-01-01"
"c11","creator_11","Synthetic Item 11",71,"video","twitch","2025-01-01"
"c12","creator_12","Synthetic Item 12",72,"article","spotify","2025-01-01"
"c13","creator_13","Synthetic Item 13",73,"short","youtube","2025-01-01"
"c14","creator_14","Synthetic Item 14",74,"podcast","blog","2025-01-01"
"c15","creator_15","Synthetic Item 15",75,"live","instagram","2025-01-01"
"c16","creator_16","Synthetic Item 16",76,"video","tiktok","2025-01-01"
"c17","creator_17","Synthetic Item 17",77,"article","twitch","2025-01-01"
"c18","creator_18","Synthetic Item 18",78,"short","spotify","2025-01-01"
"c19","creator_19","Synthetic Item 19",79,"podcast","youtube","2025-01-01"
"c20","creator_20","Synthetic Item 20",80,"live","blog","2025-01-01"
"c21","creator_21","Synthetic Item 21",81,"video","instagram","2025-01-01"
"c22","creator_22","Synthetic Item 22",82,"article","tiktok","2025-01-01"
"c23","creator_23","Synthetic Item 23",83,"short","twitch","2025-01-01"
"c24","creator_24","Synthetic Item 24",84,"podcast","spotify","2025-01-01"
"c25","creator_25","Synthetic Item 25",85,"live","youtube","2025-01-01"
"c26","creator_26","Synthetic Item 26",86,"video","blog","2025-01-01"
"c27","creator_27","Synthetic Item 27",87,"article","instagram","2025-01-01"
"c28","creator_28","Synthetic Item 28",88,"short","tiktok","2025-01-01"
"c29","creator_29","Synthetic Item 29",89,"podcast","twitch","2025-01-01"
"c30","creator_30","Synthetic Item 30",90,"live","spotify","2025-01-01"
"c31","creator_31","Synthetic Item 31",91,"video","youtube","2025-01-01"
"c32","creator_32","Synthetic Item 32",92,"article","blog","2025-01-01"
"c33","creator_33","Synthetic Item 33",93,"short","instagram","2025-01-01"
"c34","creator_34","Synthetic Item 34",94,"podcast","tiktok","2025-01-01"
"c35","creator_35","Synthetic Item 35",95,"live","twitch","2025-01-01"
"c36","creator_36","Synthetic Item 36",96,"video","spotify","2025-01-01"
"c37","creator_37","Synthetic Item 37",97,"article","youtube","2025-01-01"
"c38","creator_38","Synthetic Item 38",98,"short","blog","2025-01-01"
"c39","creator_39","Synthetic Item 39",99,"podcast","instagram","2025-01-01"
"c40","creator_40","Synthetic Item 40",100,"live","tiktok","2025-01-01"
"c41","creator_41","Synthetic Item 41",101,"video","twitch","2025-01-01"
"c42","creator_42","Synthetic Item 42",102,"article","spotify","2025-01-01"
"c43","creator_43","Synthetic Item 43",103,"short","youtube","2025-01-01"
"c44","creator_44","Synthetic Item 44",104,"podcast","blog","2025-01-01"
"c45","creator_45","Synthetic Item 45",105,"live","instagram","2025-01-01"
"c46","creator_46","Synthetic Item 46",106,"video","tiktok","2025-01-01"
"c47","creator_47","Synthetic Item 47",107,"article","twitch","2025-01-01"
"c48","creator_48","Synthetic Item 48",108,"short","spotify","2025-01-01"
"c49","creator_49","Synthetic Item 49",109,"podcast","youtube","2025-01-01"
"c50","creator_50","Synthetic Item 50",110,"live","blog","2025-01-01"
"c51","creator_1","Synthetic Item 51",111,"video","instagram","2025-01-01"
"c52","creator_2","Synthetic Item 52",112,"article","tiktok","2025-01-01"
"c53","creator_3","Synthetic Item 53",113,"short","twitch","2025-01-01"
"c54","creator_4","Synthetic Item 54",114,"podcast","spotify","2025-01-01"
"c55","creator_5","Synthetic Item 55",115,"live","youtube","2025-01-01"
"c56","creator_6","Synthetic Item 56",116,"video","blog","2025-01-01"
"c57","creator_7","Synthetic Item 57",117,"article","instagram","2025-01-01"
"c58","creator_8","Synthetic Item 58",118,"short","tiktok","2025-01-01"
"c59","creator_9","Synthetic Item 59",119,"podcast","twitch","2025-01-01"
"c60","creator_10","Synthetic Item 60",120,"live","spotify","2025-01-01"
"c61","creator_11","Synthetic Item 61",121,"video","youtube","2025-01-01"
"c62","creator_12","Synthetic Item 62",122,"article","blog","2025-01-01"
"c63","creator_13","Synthetic Item 63",123,"short","instagram","2025-01-01"
"c64","creator_14","Synthetic Item 64",124,"podcast","tiktok","2025-01-01"
"c65","creator_15","Synthetic Item 65",125,"live","twitch","2025-01-01"
"c66","creator_16","Synthetic Item 66",126,"video","spotify","2025-01-01"
"c67","creator_17","Synthetic Item 67",127,"article","youtube","2025-01-01"
"c68","creator_18","Synthetic Item 68",128,"short","blog","2025-01-01"
"c69","creator_19","Synthetic Item 69",129,"podcast","instagram","2025-01-01"
"c70","creator_20","Synthetic Item 70",130,"live","tiktok","2025-01-01"
"c71","creator_21","Synthetic Item 71",131,"video","twitch","2025-01-01"
"c72","creator_22","Synthetic Item 72",132,"article","spotify","2025-01-01"
"c73","creator_23","Synthetic Item 73",133,"short","youtube","2025-01-01"
"c74","creator_24","Synthetic Item 74",134,"podcast","blog","2025-01-01"
"c75","creator_25","Synthetic Item 75",135,"live","instagram","2025-01-01"
